answer,count,cluster,sentiment,corrected,question,code
активность,1,активность,context sentiment,активность,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
заинтересованная,1,заинтересованная,context sentiment,заинтересованная,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
интересующаяся,1,интересующаяся,context sentiment,заинтересованная,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
мотивация,8,мотивация,context sentiment,мотивация,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
мотивация труда,2,мотивация труда,context sentiment,мотивация,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
система мотивации,1,система мотивации,context sentiment,мотивация,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
мотивация инициатив,1,мотивация инициатив,context sentiment,мотивация,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
непрозрачность карьерного план,1,непрозрачность карьерного плана,context cluster,прозрачная карьерная лестница,Какие 3 информационные темы актуальны для молодежи Росатома сегодня?,27599
все составляющие,1,все составляющие,neutrals,все составляющие,Что планируете применять из пройденного обучения в ближайшее время?,24948
затрудняюсь ответить,1,затрудняюсь ответить,neutrals,затрудняюсь ответить,Что планируете применять из пройденного обучения в ближайшее время?,24948
знания по цифровым продуктам,1,знания по цифровым продуктам,neutrals,знания по цифровым продуктам,Что планируете применять из пройденного обучения в ближайшее время?,24948
контакты,1,контакты,neutrals,контакты,Что планируете применять из пройденного обучения в ближайшее время?,24948
не планирую,1,не планирую,neutrals,не планирую,Что планируете применять из пройденного обучения в ближайшее время?,24948
ангарск,3,ангарск,neutrals,ангарск,Какой город Вы представляете?,27497
архангельск,2,архангельск,neutrals,архангельск,Какой город Вы представляете?,27497
балаково,2,балаково,neutrals,балаково,Какой город Вы представляете?,27497
барнаул,1,барнаул,neutrals,барнаул,Какой город Вы представляете?,27497
белгород,2,белгород,neutrals,белгород,Какой город Вы представляете?,27497
благовещенск,2,благовещенск,neutrals,благовещенск,Какой город Вы представляете?,27497
владивосток,1,владивосток,neutrals,владивосток,Какой город Вы представляете?,27497
владикавказ,1,владикавказ,neutrals,владикавказ,Какой город Вы представляете?,27497
владимир,1,владимир,neutrals,владимир,Какой город Вы представляете?,27497
волгоград,3,волгоград,neutrals,волгоград,Какой город Вы представляете?,27497
волгодонск,7,волгодонск,neutrals,волгодонск,Какой город Вы представляете?,27497
волжский,3,волжский,neutrals,волжский,Какой город Вы представляете?,27497
вологда,1,вологда,neutrals,вологда,Какой город Вы представляете?,27497
воронеж,3,воронеж,neutrals,воронеж,Какой город Вы представляете?,27497
воронеж ♥️,1,воронеж,neutrals,воронеж,Какой город Вы представляете?,27497
вуктыл,1,вуктыл,neutrals,вуктыл,Какой город Вы представляете?,27497
выборг,1,выборг,neutrals,выборг,Какой город Вы представляете?,27497
гачи-петербург,1,санкт петербург,neutrals,гачи петербург,Какой город Вы представляете?,27497
